True Label,D01_Samsung_GalaxyS3Mini,D02_Apple_iPhone4s,D03_Huawei_P9,D04_LG_D290,D05_Apple_iPhone5c,D06_Apple_iPhone6,D07_Lenovo_P70A,D08_Samsung_GalaxyTab3,D09_Apple_iPhone4,D10_Apple_iPhone4s,D11_Samsung_GalaxyS3,D12_Sony_XperiaZ1Compact,D13_Apple_iPad2,D14_Apple_iPhone5c,D15_Apple_iPhone6,D16_Huawei_P9Lite,D17_Microsoft_Lumia640LTE,D18_Apple_iPhone5c,D19_Apple_iPhone6Plus,D20_Apple_iPadMini,D21_Wiko_Ridge4G,D22_Samsung_GalaxyTrendPlus,D23_Asus_Zenfone2Laser,D24_Xiaomi_RedmiNote3,D25_OnePlus_A3000,D26_Samsung_GalaxyS3Mini,D27_Samsung_GalaxyS5,D28_Huawei_P8,D29_Apple_iPhone5,D30_Huawei_Honor5c,D31_Samsung_GalaxyS4Mini,D32_OnePlus_A3003,D33_Huawei_Ascend,D34_Apple_iPhone5,D35_Samsung_GalaxyTabA
D01_Samsung_GalaxyS3Mini,7,3,8,56,6,7,17,77,3,22,15,14,44,1,7,59,6,79,16,0,29,1,12,27,3,28,18,1,32,11,6,0,2,1,8
D02_Apple_iPhone4s,15,4,8,26,9,16,24,61,7,24,9,47,20,9,19,25,3,53,11,0,67,3,10,10,5,14,11,12,28,27,40,0,4,15,4
D03_Huawei_P9,1,0,3,62,6,10,17,27,8,57,32,62,3,2,10,9,13,73,5,0,70,0,19,17,15,3,42,11,8,80,43,0,1,33,0
D04_LG_D290,6,10,8,16,5,17,36,95,5,17,6,96,15,5,3,9,26,21,20,0,72,1,14,15,10,16,34,39,39,25,30,0,0,19,0
D05_Apple_iPhone5c,4,7,15,56,6,10,45,20,28,23,46,165,5,11,20,34,2,90,18,30,125,0,63,6,19,4,20,3,26,36,33,0,11,71,3
D06_Apple_iPhone6,2,10,14,90,14,21,2,32,1,6,13,15,34,0,5,53,0,20,10,1,33,3,7,6,0,4,1,7,8,6,25,6,7,8,8
D07_Lenovo_P70A,1,1,2,40,0,5,31,30,34,31,10,101,4,14,3,39,0,66,5,1,37,4,56,0,11,8,44,0,67,25,12,0,0,32,0
D08_Samsung_GalaxyTab3,3,4,8,38,8,13,14,74,5,8,19,44,48,1,7,13,11,27,20,2,40,9,0,2,1,1,26,2,15,9,31,3,0,4,0
D09_Apple_iPhone4,0,3,0,5,10,9,20,76,26,13,12,108,2,8,1,43,3,66,10,28,25,4,90,16,10,25,8,2,4,22,22,0,4,5,0
D10_Apple_iPhone4s,34,2,2,123,33,22,8,17,3,4,8,8,52,6,16,79,3,18,5,0,46,19,1,7,2,5,11,4,16,16,7,0,5,0,7
D11_Samsung_GalaxyS3,13,3,11,60,33,6,29,53,0,3,33,40,45,11,10,45,13,35,16,0,45,11,3,12,0,24,9,4,5,19,42,1,0,12,1
D12_Sony_XperiaZ1Compact,6,5,1,49,9,37,12,101,7,14,29,30,7,11,14,11,5,38,8,1,107,1,3,11,5,9,21,20,4,22,53,8,0,10,5
D13_Apple_iPad2,19,8,3,85,28,18,9,104,6,24,20,14,19,0,14,6,11,33,20,0,49,7,0,6,2,9,16,1,14,11,21,1,3,1,5
D14_Apple_iPhone5c,7,9,0,121,7,8,10,35,1,9,41,105,8,5,4,24,0,30,8,0,78,1,7,25,1,6,5,7,11,17,65,0,5,11,4
D15_Apple_iPhone6,6,14,0,102,14,2,49,21,5,13,19,38,16,7,7,55,21,73,18,10,55,5,8,10,4,4,9,3,14,54,25,2,1,24,1
D16_Huawei_P9Lite,0,0,4,31,7,9,26,17,8,55,29,56,2,4,25,17,13,43,9,2,69,0,25,6,21,11,13,13,56,54,63,0,0,43,5
D17_Microsoft_Lumia640LTE,16,9,2,45,8,34,7,92,6,22,10,10,11,4,33,7,7,29,9,2,85,5,12,17,0,6,5,2,25,29,37,3,0,1,1
D18_Apple_iPhone5c,16,2,4,59,13,14,6,96,6,20,45,36,17,19,6,7,0,43,14,5,72,15,9,10,0,12,15,12,0,14,25,5,4,13,4
D19_Apple_iPhone6Plus,6,0,9,125,3,29,15,38,37,68,5,42,0,4,10,60,1,81,2,4,85,0,41,3,15,13,24,1,1,73,30,0,0,17,0
D20_Apple_iPadMini,7,4,8,74,16,15,12,39,3,17,22,15,70,0,12,22,6,24,12,0,31,14,3,10,1,4,12,4,20,15,7,1,7,18,2
D21_Wiko_Ridge4G,6,6,1,37,15,20,24,21,11,41,28,79,13,14,14,20,2,24,9,0,85,1,28,8,11,35,25,11,15,37,89,1,12,61,2
D22_Samsung_GalaxyTrendPlus,27,2,4,133,34,4,25,20,0,5,2,8,53,0,11,56,0,23,9,2,21,9,2,3,4,6,22,2,29,15,18,0,6,2,4
D23_Asus_Zenfone2Laser,0,0,3,31,1,1,11,91,53,19,8,134,4,0,2,55,2,70,4,17,24,0,38,3,5,10,18,1,0,10,35,0,1,18,0
D24_Xiaomi_RedmiNote3,41,0,0,6,2,26,65,79,39,19,27,60,15,7,5,86,2,55,16,5,75,2,25,35,5,23,71,19,69,86,3,0,5,20,0
D25_OnePlus_A3000,0,0,5,43,1,22,20,36,79,33,7,135,0,9,7,187,2,63,13,3,37,1,39,2,26,8,38,11,0,52,28,0,3,13,0
D26_Samsung_GalaxyS3Mini,12,5,2,55,12,16,8,14,0,5,5,12,54,11,20,48,6,16,0,0,39,28,1,8,5,1,20,3,16,16,17,0,6,1,0
D27_Samsung_GalaxyS5,3,0,0,2,4,7,37,37,93,22,7,66,2,5,10,123,0,27,0,4,72,1,44,1,26,8,48,18,58,25,15,0,0,13,0
D28_Huawei_P8,5,6,20,44,10,11,45,60,7,35,25,116,10,2,10,19,18,43,20,1,72,1,20,11,10,16,3,24,24,87,24,2,6,23,2
D29_Apple_iPhone5,0,0,0,11,1,1,3,10,35,25,13,177,0,7,0,97,0,13,0,24,8,0,113,6,15,3,16,5,67,18,14,0,2,8,2
