True Label,D01_Samsung_GalaxyS3Mini,D02_Apple_iPhone4s,D03_Huawei_P9,D04_LG_D290,D05_Apple_iPhone5c,D06_Apple_iPhone6,D07_Lenovo_P70A,D08_Samsung_GalaxyTab3,D09_Apple_iPhone4,D10_Apple_iPhone4s,D11_Samsung_GalaxyS3,D12_Sony_XperiaZ1Compact,D13_Apple_iPad2,D14_Apple_iPhone5c,D15_Apple_iPhone6,D16_Huawei_P9Lite,D17_Microsoft_Lumia640LTE,D18_Apple_iPhone5c,D19_Apple_iPhone6Plus,D20_Apple_iPadMini,D21_Wiko_Ridge4G,D22_Samsung_GalaxyTrendPlus,D23_Asus_Zenfone2Laser,D24_Xiaomi_RedmiNote3,D25_OnePlus_A3000,D26_Samsung_GalaxyS3Mini,D27_Samsung_GalaxyS5,D28_Huawei_P8,D29_Apple_iPhone5,D30_Huawei_Honor5c,D31_Samsung_GalaxyS4Mini,D32_OnePlus_A3003,D33_Huawei_Ascend,D34_Apple_iPhone5,D35_Samsung_GalaxyTabA
D17_Microsoft_Lumia640LTE,4,7,3,39,3,7,46,12,2,0,16,1,3,0,2,10,42,6,8,0,44,27,0,16,49,48,49,17,13,28,4,20,1,0,64
D18_Apple_iPhone5c,5,15,2,35,1,1,24,26,0,0,40,7,1,0,6,16,34,28,7,3,12,58,1,16,39,32,33,11,25,39,4,55,8,1,53
D19_Apple_iPhone6Plus,10,5,8,25,3,3,8,1,7,4,106,1,36,0,0,6,4,17,28,8,54,24,2,56,95,9,61,0,72,63,0,16,2,8,100
D20_Apple_iPadMini,3,17,6,53,0,4,35,13,0,5,12,6,2,0,3,1,22,6,4,4,15,28,1,4,98,55,21,16,25,21,2,9,0,2,34
D21_Wiko_Ridge4G,24,8,0,42,2,0,97,12,11,11,17,5,2,0,1,44,13,16,3,10,47,48,5,75,59,42,69,4,19,9,3,22,0,13,73
D22_Samsung_GalaxyTrendPlus,2,14,15,47,9,8,12,1,2,7,10,8,4,1,3,6,7,14,17,11,27,18,8,7,44,153,12,27,10,24,0,5,3,18,7
D23_Asus_Zenfone2Laser,24,3,0,16,0,0,27,7,2,8,23,6,10,0,0,7,19,4,16,7,72,28,6,45,81,8,32,8,17,22,0,4,3,5,159
D24_Xiaomi_RedmiNote3,3,17,20,103,70,10,13,4,53,2,21,0,43,0,0,12,2,21,2,10,41,17,10,69,116,63,31,39,51,15,1,10,0,20,104
D25_OnePlus_A3000,24,9,4,48,0,14,8,0,6,1,104,0,35,0,1,4,25,13,20,11,46,13,1,47,90,13,50,0,122,50,1,5,6,8,144
D26_Samsung_GalaxyS3Mini,0,19,26,40,2,2,10,5,4,9,14,2,10,0,0,21,9,4,5,9,18,30,5,9,49,55,6,19,20,18,6,11,0,11,14
D27_Samsung_GalaxyS5,0,30,7,34,17,7,9,4,14,11,19,3,18,0,0,6,14,24,13,1,38,21,2,19,31,3,29,0,121,32,0,3,2,26,220
D28_Huawei_P8,1,10,7,83,21,4,44,3,12,1,15,8,5,0,6,54,26,20,26,4,66,50,8,72,44,34,24,2,24,27,1,20,1,17,92
D29_Apple_iPhone5,4,5,4,40,0,6,0,10,2,10,10,0,75,0,0,2,18,7,14,9,34,21,2,56,74,1,97,3,59,14,2,3,0,5,107
D30_Huawei_Honor5c,9,10,16,79,18,7,48,3,10,4,22,2,4,0,0,61,15,43,16,6,56,40,1,115,26,40,22,13,16,11,4,34,1,11,49
D31_Samsung_GalaxyS4Mini,5,7,2,41,7,4,41,8,3,3,24,4,5,0,3,13,0,12,6,10,84,43,6,32,44,71,27,11,24,67,0,16,1,1,57
D32_OnePlus_A3003,4,5,7,19,3,0,40,10,0,3,0,3,28,0,0,25,20,11,5,7,69,1,1,59,28,25,106,6,67,23,1,85,0,0,104
D33_Huawei_Ascend,0,9,8,45,1,0,21,9,0,8,12,7,5,0,0,1,19,11,12,7,26,36,1,14,53,30,25,24,12,32,4,18,6,4,30
D34_Apple_iPhone5,44,16,5,38,9,3,15,4,12,15,30,9,14,0,5,9,31,48,11,1,11,12,3,17,103,22,14,22,8,27,17,34,7,3,23
D35_Samsung_GalaxyTabA,6,8,10,43,1,12,4,5,2,7,15,13,10,0,0,1,16,8,19,8,14,16,4,13,82,93,9,13,9,22,12,14,0,22,5
