True Label,D01_Samsung_GalaxyS3Mini,D02_Apple_iPhone4s,D03_Huawei_P9,D04_LG_D290,D05_Apple_iPhone5c,D06_Apple_iPhone6,D07_Lenovo_P70A,D08_Samsung_GalaxyTab3,D09_Apple_iPhone4,D10_Apple_iPhone4s,D11_Samsung_GalaxyS3,D12_Sony_XperiaZ1Compact,D13_Apple_iPad2,D14_Apple_iPhone5c,D15_Apple_iPhone6,D16_Huawei_P9Lite,D17_Microsoft_Lumia640LTE,D18_Apple_iPhone5c,D19_Apple_iPhone6Plus,D20_Apple_iPadMini,D21_Wiko_Ridge4G,D22_Samsung_GalaxyTrendPlus,D23_Asus_Zenfone2Laser,D24_Xiaomi_RedmiNote3,D25_OnePlus_A3000,D26_Samsung_GalaxyS3Mini,D27_Samsung_GalaxyS5,D28_Huawei_P8,D29_Apple_iPhone5,D30_Huawei_Honor5c,D31_Samsung_GalaxyS4Mini,D32_OnePlus_A3003,D33_Huawei_Ascend,D34_Apple_iPhone5,D35_Samsung_GalaxyTabA
D01_Samsung_GalaxyS3Mini,4,29,4,54,4,9,24,11,4,8,21,2,10,0,1,36,21,11,5,2,23,53,0,9,67,121,17,8,7,33,0,7,1,11,9
D02_Apple_iPhone4s,1,24,3,46,9,3,30,5,11,7,24,3,9,0,4,10,19,29,5,10,44,31,10,25,58,44,26,10,25,32,1,29,0,9,44
D03_Huawei_P9,3,6,5,48,9,7,19,2,9,2,7,1,11,1,10,32,7,29,22,8,73,24,1,58,36,31,12,13,25,19,1,42,3,74,92
D04_LG_D290,2,4,10,34,9,6,16,1,11,13,7,1,10,0,23,6,16,17,15,10,41,41,5,56,69,29,19,2,63,45,0,11,1,24,113
D05_Apple_iPhone5c,7,33,4,3,10,7,38,13,14,0,15,13,29,0,4,1,18,33,44,4,102,29,6,99,64,19,129,12,36,99,1,24,12,12,121
D06_Apple_iPhone6,0,7,4,19,2,6,17,16,11,1,24,5,10,0,9,2,66,9,8,7,7,28,1,11,86,26,17,15,15,16,0,5,1,4,17
D07_Lenovo_P70A,6,13,3,20,1,20,14,3,18,7,20,14,28,0,16,5,3,10,31,9,43,17,0,80,100,3,22,0,30,20,0,14,5,60,79
D08_Samsung_GalaxyTab3,3,13,14,49,3,8,18,11,1,0,19,6,2,0,1,4,16,25,10,9,30,18,2,10,52,30,23,17,12,39,0,21,4,9,31
D09_Apple_iPhone4,0,9,0,34,0,8,13,7,2,1,19,24,25,0,3,2,27,20,1,0,41,31,2,43,31,27,59,1,30,66,11,8,8,1,126
D10_Apple_iPhone4s,0,9,16,34,7,4,28,7,2,4,4,1,7,1,8,33,9,15,7,7,16,20,2,14,68,110,14,26,25,18,0,49,3,7,14
D11_Samsung_GalaxyS3,2,7,3,30,3,0,29,19,1,9,32,6,9,18,2,18,21,12,13,11,52,65,7,49,42,35,16,0,18,22,2,43,3,4,44
D12_Sony_XperiaZ1Compact,4,16,0,49,4,0,25,6,0,2,16,10,4,0,0,20,14,27,9,5,60,49,8,17,70,69,24,16,19,37,4,24,7,5,54
D13_Apple_iPad2,4,7,7,39,2,3,26,6,0,0,11,6,7,0,0,10,24,23,17,5,14,17,4,24,73,95,14,28,10,58,0,20,1,8,24
D14_Apple_iPhone5c,6,11,7,20,15,7,46,8,3,2,55,5,0,0,11,16,10,20,13,3,71,28,12,17,52,24,45,26,16,47,5,17,5,12,40
D15_Apple_iPhone6,6,8,6,42,0,1,48,3,5,14,45,2,1,4,3,43,5,6,5,0,50,31,11,48,105,24,24,8,23,33,6,33,11,14,41
D16_Huawei_P9Lite,1,13,2,39,0,7,18,1,2,0,77,5,14,0,1,27,15,20,14,7,82,21,2,50,65,39,9,4,24,30,2,43,9,1,92
