True Label,D01_Samsung_GalaxyS3Mini,D02_Apple_iPhone4s,D03_Huawei_P9,D04_LG_D290,D05_Apple_iPhone5c,D06_Apple_iPhone6,D07_Lenovo_P70A,D08_Samsung_GalaxyTab3,D09_Apple_iPhone4,D10_Apple_iPhone4s,D11_Samsung_GalaxyS3,D12_Sony_XperiaZ1Compact,D13_Apple_iPad2,D14_Apple_iPhone5c,D15_Apple_iPhone6,D16_Huawei_P9Lite,D17_Microsoft_Lumia640LTE,D18_Apple_iPhone5c,D19_Apple_iPhone6Plus,D20_Apple_iPadMini,D21_Wiko_Ridge4G,D22_Samsung_GalaxyTrendPlus,D23_Asus_Zenfone2Laser,D24_Xiaomi_RedmiNote3,D25_OnePlus_A3000,D26_Samsung_GalaxyS3Mini,D27_Samsung_GalaxyS5,D28_Huawei_P8,D29_Apple_iPhone5,D30_Huawei_Honor5c,D31_Samsung_GalaxyS4Mini,D32_OnePlus_A3003,D33_Huawei_Ascend,D34_Apple_iPhone5,D35_Samsung_GalaxyTabA
D01_Samsung_GalaxyS3Mini,3,51,13,47,26,33,6,1,5,10,6,34,5,2,12,38,21,3,27,14,8,3,18,1,8,16,2,2,26,47,0,10,43,11,74
D02_Apple_iPhone4s,6,13,24,33,19,17,18,21,3,26,17,40,0,2,22,18,22,11,58,17,42,0,36,2,11,17,4,0,19,37,1,4,19,34,27
D03_Huawei_P9,22,5,78,22,15,73,44,10,0,19,7,21,5,0,16,10,15,3,29,6,33,0,44,0,11,10,19,1,42,81,6,0,28,27,40
D04_LG_D290,12,14,57,9,11,6,38,9,4,22,11,79,4,0,37,8,22,28,29,0,34,0,52,2,5,48,9,0,57,37,0,7,16,44,19
D05_Apple_iPhone5c,3,2,34,63,17,21,15,43,0,45,18,130,4,0,16,22,43,7,73,1,77,0,27,1,5,12,13,8,50,89,2,4,7,114,89
D06_Apple_iPhone6,13,4,34,19,6,20,24,3,5,2,10,25,16,2,16,2,25,8,24,4,38,0,34,4,3,7,1,6,22,17,0,5,32,31,10
D07_Lenovo_P70A,24,2,21,7,30,17,7,17,0,40,3,60,3,1,9,14,17,4,43,35,41,0,10,0,1,1,7,4,91,115,0,8,5,34,43
D08_Samsung_GalaxyTab3,1,5,31,43,2,8,34,8,1,9,14,28,4,2,18,16,22,16,50,9,43,1,40,2,5,12,0,9,13,9,3,7,12,18,15
D09_Apple_iPhone4,0,5,2,21,29,18,8,12,0,7,6,151,0,0,27,17,45,4,33,20,50,0,10,3,4,13,6,0,70,41,6,9,2,50,11
D10_Apple_iPhone4s,4,14,41,22,3,5,10,8,5,9,29,13,1,0,11,51,43,6,12,29,35,0,30,1,13,25,1,6,29,20,5,30,28,19,31
D11_Samsung_GalaxyS3,11,6,9,15,18,26,15,20,1,10,9,98,7,0,20,4,14,11,51,9,69,1,67,3,13,15,1,6,14,15,2,16,27,29,15
D12_Sony_XperiaZ1Compact,7,14,29,39,18,12,41,8,1,29,7,30,7,2,12,28,31,12,42,8,85,0,25,15,7,18,3,5,30,49,4,3,3,26,24
D13_Apple_iPad2,6,4,36,42,9,44,42,7,3,3,12,18,8,3,11,38,26,15,22,24,36,1,30,0,10,9,5,10,15,24,2,4,27,13,28
D14_Apple_iPhone5c,9,0,53,26,14,46,43,7,3,17,8,48,16,0,9,6,24,6,36,7,78,3,48,3,9,9,8,0,17,17,11,17,14,16,47
D15_Apple_iPhone6,3,8,16,22,15,38,5,15,0,7,1,41,3,12,61,20,19,8,61,7,33,0,45,1,12,15,17,1,46,36,5,18,68,24,26
D16_Huawei_P9Lite,24,7,82,24,35,6,18,10,0,12,7,29,5,0,14,13,29,2,21,10,24,0,82,0,8,23,28,1,53,58,0,3,38,26,44
D17_Microsoft_Lumia640LTE,0,16,10,26,24,15,33,5,15,25,5,60,4,3,12,10,19,0,32,2,57,0,25,3,6,19,2,3,11,72,1,5,21,16,34
D18_Apple_iPhone5c,4,8,19,48,20,43,29,12,9,13,1,20,15,2,6,0,18,9,33,3,94,0,47,6,5,36,6,2,10,38,2,14,7,29,30
D19_Apple_iPhone6Plus,19,5,21,16,33,107,6,11,0,1,11,108,1,0,16,23,11,5,50,22,9,0,51,0,9,3,8,5,74,75,3,5,4,65,65
D20_Apple_iPadMini,21,0,55,18,9,14,29,10,8,0,9,24,4,1,17,33,26,9,24,25,27,4,26,0,5,14,3,4,15,13,0,4,27,40,9
D21_Wiko_Ridge4G,18,4,17,23,5,8,6,15,2,16,1,50,10,0,31,20,66,13,38,3,28,0,62,0,8,16,22,0,68,65,2,6,43,74,66
D22_Samsung_GalaxyTrendPlus,6,4,32,42,1,19,9,5,3,4,32,10,1,6,14,51,18,10,21,70,10,0,17,8,6,11,4,3,13,32,0,10,59,18,12
D23_Asus_Zenfone2Laser,9,5,9,17,8,62,11,8,0,3,4,129,5,0,26,43,4,1,24,7,18,0,31,0,0,0,13,0,77,74,3,6,13,37,22
D24_Xiaomi_RedmiNote3,7,5,35,10,3,54,15,14,5,24,3,70,0,3,42,31,78,9,49,19,61,0,15,0,0,27,4,10,80,190,0,1,43,66,20
D25_OnePlus_A3000,4,15,16,4,38,114,3,0,0,1,5,118,2,0,16,34,37,9,29,33,9,0,39,3,4,8,8,1,89,118,7,1,25,66,67
D26_Samsung_GalaxyS3Mini,6,1,10,37,4,14,11,6,2,10,33,11,3,0,27,20,41,10,29,56,30,0,12,0,1,5,2,0,12,13,1,10,24,16,5
D27_Samsung_GalaxyS5,2,4,22,1,22,25,6,12,1,41,6,77,21,1,25,20,21,4,67,64,20,0,10,4,4,18,0,3,96,103,2,1,6,40,29
D28_Huawei_P8,27,14,48,21,1,6,2,30,2,34,5,62,20,0,18,30,28,0,44,7,46,0,16,6,10,30,17,3,42,98,2,1,60,55,47
D29_Apple_iPhone5,3,0,27,10,5,32,6,13,0,3,4,102,0,0,49,7,49,1,27,30,0,0,24,0,0,0,7,0,84,126,0,0,0,50,35
D30_Huawei_Honor5c,9,4,51,31,15,10,16,19,0,18,2,60,12,0,12,14,17,4,39,3,60,0,34,8,4,21,25,0,22,136,4,3,55,45,59
D31_Samsung_GalaxyS4Mini,6,10,38,18,9,24,17,16,1,14,4,36,4,0,23,33,32,5,49,19,86,0,27,3,12,15,3,1,27,52,1,17,30,10,40
D32_OnePlus_A3003,4,8,20,34,39,1,5,21,0,4,1,203,8,0,12,9,33,7,10,2,9,0,22,0,9,2,21,0,63,137,4,1,22,8,46
D33_Huawei_Ascend,4,3,33,25,12,18,13,11,1,4,8,67,6,0,2,4,54,7,9,6,61,0,21,2,15,24,2,10,9,10,2,5,15,7,20
D34_Apple_iPhone5,21,8,23,17,21,61,59,12,7,10,15,17,6,0,45,11,25,20,11,10,30,0,55,4,3,43,4,3,8,12,0,8,17,35,21
D35_Samsung_GalaxyTabA,11,4,48,34,3,17,6,0,1,2,18,17,0,2,16,36,19,12,16,43,26,0,20,1,6,27,1,10,31,12,0,6,25,36,10
