True Label,D01_Samsung_GalaxyS3Mini,D02_Apple_iPhone4s,D03_Huawei_P9,D04_LG_D290,D05_Apple_iPhone5c,D06_Apple_iPhone6,D07_Lenovo_P70A,D08_Samsung_GalaxyTab3,D09_Apple_iPhone4,D10_Apple_iPhone4s,D11_Samsung_GalaxyS3,D12_Sony_XperiaZ1Compact,D13_Apple_iPad2,D14_Apple_iPhone5c,D15_Apple_iPhone6,D16_Huawei_P9Lite,D17_Microsoft_Lumia640LTE,D18_Apple_iPhone5c,D19_Apple_iPhone6Plus,D20_Apple_iPadMini,D21_Wiko_Ridge4G,D22_Samsung_GalaxyTrendPlus,D23_Asus_Zenfone2Laser,D24_Xiaomi_RedmiNote3,D25_OnePlus_A3000,D26_Samsung_GalaxyS3Mini,D27_Samsung_GalaxyS5,D28_Huawei_P8,D29_Apple_iPhone5,D30_Huawei_Honor5c,D31_Samsung_GalaxyS4Mini,D32_OnePlus_A3003,D33_Huawei_Ascend,D34_Apple_iPhone5,D35_Samsung_GalaxyTabA
D23_Asus_Zenfone2Laser,48,0,0,0,33,4,5,21,7,50,3,47,3,0,0,289,0,8,0,0,0,4,0,0,4,0,0,0,72,0,4,35,0,12,20
D24_Xiaomi_RedmiNote3,120,0,1,0,49,4,2,107,21,0,52,49,3,0,0,169,0,11,0,2,0,163,1,0,0,0,0,0,56,0,0,132,0,7,44
D25_OnePlus_A3000,40,0,4,0,46,6,0,52,13,52,3,32,29,0,0,262,0,13,0,1,0,1,0,0,9,0,0,0,218,0,20,35,0,1,86
D26_Samsung_GalaxyS3Mini,28,0,5,0,10,0,6,18,26,0,23,77,9,0,4,78,2,0,0,0,0,66,11,0,6,9,0,1,8,0,0,35,7,5,28
D27_Samsung_GalaxyS5,10,0,28,0,45,9,0,38,15,0,3,71,7,0,0,349,2,21,0,0,0,9,1,0,2,1,0,0,95,0,15,34,0,19,4
D28_Huawei_P8,44,0,5,0,21,19,4,20,15,0,58,133,4,0,0,118,9,44,0,21,0,43,3,0,8,14,2,0,60,0,2,96,0,27,62
D29_Apple_iPhone5,3,1,0,0,35,3,0,29,0,0,40,18,2,0,0,349,1,0,0,0,0,7,0,0,3,0,0,0,168,0,0,25,0,2,8
D30_Huawei_Honor5c,56,0,5,0,6,34,4,28,6,0,12,133,9,0,0,98,6,50,0,16,0,48,1,0,1,4,14,1,56,0,0,111,0,34,79
D31_Samsung_GalaxyS4Mini,21,0,0,0,40,2,2,25,2,15,15,66,20,0,1,123,14,26,0,13,0,42,1,0,9,15,3,3,67,0,0,73,2,39,43
D32_OnePlus_A3003,11,0,0,0,23,24,91,6,16,0,0,52,0,0,0,291,0,21,0,14,0,16,0,0,11,0,2,0,118,0,4,55,0,0,10
D33_Huawei_Ascend,23,0,3,0,17,3,3,0,19,1,15,75,16,0,5,78,0,13,0,13,0,84,8,0,13,4,0,3,36,0,0,16,1,17,24
D34_Apple_iPhone5,55,1,6,3,37,1,3,11,14,0,20,93,1,0,0,94,5,11,0,3,0,177,9,0,9,7,0,5,7,0,0,19,1,1,49
D35_Samsung_GalaxyTabA,51,1,4,1,12,2,7,8,33,10,14,42,38,0,5,64,3,11,0,0,0,111,3,2,2,4,0,12,9,0,0,22,0,14,31
