True Label,D01_Samsung_GalaxyS3Mini,D02_Apple_iPhone4s,D03_Huawei_P9,D04_LG_D290,D05_Apple_iPhone5c,D06_Apple_iPhone6,D07_Lenovo_P70A,D08_Samsung_GalaxyTab3,D09_Apple_iPhone4,D10_Apple_iPhone4s,D11_Samsung_GalaxyS3,D12_Sony_XperiaZ1Compact,D13_Apple_iPad2,D14_Apple_iPhone5c,D15_Apple_iPhone6,D16_Huawei_P9Lite,D17_Microsoft_Lumia640LTE,D18_Apple_iPhone5c,D19_Apple_iPhone6Plus,D20_Apple_iPadMini,D21_Wiko_Ridge4G,D22_Samsung_GalaxyTrendPlus,D23_Asus_Zenfone2Laser,D24_Xiaomi_RedmiNote3,D25_OnePlus_A3000,D26_Samsung_GalaxyS3Mini,D27_Samsung_GalaxyS5,D28_Huawei_P8,D29_Apple_iPhone5,D30_Huawei_Honor5c,D31_Samsung_GalaxyS4Mini,D32_OnePlus_A3003,D33_Huawei_Ascend,D34_Apple_iPhone5,D35_Samsung_GalaxyTabA
D01_Samsung_GalaxyS3Mini,22,0,0,0,5,3,2,29,15,25,30,156,26,0,0,103,1,6,0,0,0,87,3,0,1,6,3,17,15,0,0,37,0,3,31
D02_Apple_iPhone4s,29,0,11,2,27,20,4,20,5,0,34,86,11,2,0,127,5,13,0,11,0,46,0,0,7,12,0,6,47,0,3,66,0,18,28
D03_Huawei_P9,59,2,0,4,19,3,0,3,10,0,8,134,0,0,0,162,0,23,0,15,0,19,4,0,6,2,2,0,142,0,0,84,0,10,31
D04_LG_D290,95,1,35,0,45,3,2,6,6,0,6,71,3,0,0,117,0,30,0,0,0,54,4,0,7,14,0,0,74,0,7,75,0,26,49
D05_Apple_iPhone5c,45,0,16,0,108,9,9,22,5,0,7,136,36,0,0,238,8,36,0,15,0,19,0,0,8,29,0,1,192,0,0,59,0,29,28
D06_Apple_iPhone6,29,2,7,0,22,0,0,11,6,37,15,60,5,0,1,86,1,1,0,0,0,68,1,0,6,0,0,10,22,0,0,12,0,5,65
D07_Lenovo_P70A,39,0,22,0,90,0,6,29,4,0,4,72,7,0,0,150,0,13,0,0,0,7,50,0,5,0,0,0,162,0,3,43,0,5,3
D08_Samsung_GalaxyTab3,35,5,3,0,19,0,4,35,51,0,21,27,2,0,0,93,3,11,0,3,0,76,12,0,0,3,0,7,18,0,0,26,4,30,22
D09_Apple_iPhone4,19,0,0,0,25,0,1,19,6,0,0,56,10,0,0,242,3,1,0,2,0,27,3,0,0,76,0,1,87,0,0,78,0,8,16
D10_Apple_iPhone4s,42,0,20,3,10,7,26,7,41,11,35,111,46,0,5,69,4,2,0,2,0,67,7,0,0,10,4,13,6,0,0,32,0,4,5
D11_Samsung_GalaxyS3,13,0,3,0,18,15,12,25,6,2,73,66,2,0,16,70,5,36,0,10,0,103,9,0,7,16,0,2,23,0,3,34,0,27,51
D12_Sony_XperiaZ1Compact,35,0,0,0,76,1,5,18,9,42,17,57,36,0,0,107,15,29,0,8,0,47,0,0,11,14,5,6,37,0,0,29,0,36,34
D13_Apple_iPad2,16,0,0,0,24,1,0,5,19,23,14,106,14,0,0,148,0,22,0,4,0,91,7,0,9,12,0,0,14,0,0,9,0,11,38
D14_Apple_iPhone5c,32,0,6,0,37,4,11,5,0,7,23,84,6,0,0,168,8,24,0,19,0,74,5,0,9,9,2,3,74,0,0,18,0,10,37
D15_Apple_iPhone6,22,0,0,0,11,6,11,26,11,58,49,98,12,0,5,93,3,36,0,6,0,57,0,0,10,10,4,0,54,0,7,61,0,24,35
D16_Huawei_P9Lite,48,0,0,0,10,4,0,2,17,0,13,158,0,0,0,124,4,19,0,17,0,37,5,0,3,2,5,3,130,0,0,68,0,14,53
D17_Microsoft_Lumia640LTE,14,4,0,0,35,11,4,15,17,1,25,52,31,0,0,137,28,8,0,0,1,31,8,0,9,44,5,8,22,0,0,11,0,22,48
D18_Apple_iPhone5c,14,5,0,0,67,7,9,60,37,0,8,80,4,0,0,137,8,15,0,5,0,47,0,0,7,34,0,9,30,2,0,18,0,10,25
D19_Apple_iPhone6Plus,51,0,0,0,69,2,3,24,8,115,7,61,19,0,0,194,3,13,0,6,0,14,0,0,3,2,0,0,162,0,17,49,0,7,13
D20_Apple_iPadMini,48,0,5,4,17,3,0,11,15,19,14,79,20,1,4,103,1,4,0,1,0,83,12,0,3,0,1,18,17,0,0,9,1,6,28
D21_Wiko_Ridge4G,43,0,0,0,13,28,4,53,1,0,11,86,5,0,0,146,5,57,0,15,3,24,1,0,5,40,4,0,52,0,0,96,0,47,67
D22_Samsung_GalaxyTrendPlus,24,0,13,0,7,0,1,9,51,3,24,83,20,0,0,88,0,0,0,0,0,134,8,0,11,11,0,7,9,0,0,22,5,0,31
