Epoch,Train Loss,Train Accuracy,Train F1,Validation Loss,Validation Accuracy,Validation F1
1,3.7564117502658925,0.031238286,0.031238286,3.767419730145458,0.031622745,0.031622745
2,3.7514823573700924,0.030571869,0.030571869,3.754956127172039,0.033009708,0.033009708
3,3.7392467082814966,0.031196635,0.031196635,3.7444581173329348,0.03411928,0.03411928
4,3.7308570907471026,0.032029655,0.032029655,3.7386599125379334,0.03411928,0.03411928
5,3.7271693742021603,0.031988006,0.031988006,3.737061535336604,0.033841886,0.033841886
